API区分,試算番号,バージョン,自動更新,アカウント名（契約先/納入先）,請求先（受注先）
I,QJ01390287,001,X,1000025467,1000025467
I,QJ01391816,001,X,1000012925,1000012925
I,QJ01394175,001,X,1000000931,1000031557
I,QJ01395606,001,X,1000073602,1000304708
I,QJ01396826,001,X,1000012922,1000012922
I,QJ01397444,001,X,1000078461,1000002641
I,QJ01397557,001,,1000004979,1000004979
I,QJ01399159,001,X,1000333504,1000012488
I,QJ01399786,001,,1000029174,1000024147
I,QJ01404100,001,X,1000050720,1000014371
I,QJ01404101,001,X,1000003294,1000003294
I,QJ01405134,001,X,1000027877,1000011423
I,QJ01405769,001,X,1000015067,1000015067
I,QJ01407456,001,X,1000074342,1000074342
I,QJ01408895,001,X,1000014740,1000014740
I,QJ01409038,001,X,1000309901,1000309901
I,QJ01409724,001,X,1000049431,1000049431
I,QJ01409777,001,X,1000015330,1000015341
I,QJ01410067,001,X,1000083866,1000015013
I,QJ01410069,001,X,1000083819,1000015013
I,QJ01410378,001,,1000021826,1000021826
I,QJ01411556,001,X,1000050784,1000028504
I,QJ01412041,001,X,1000013937,1000013937
I,QJ01412307,001,X,1000025502,1000025389
I,QJ01412309,001,X,1000325413,1001000366
I,QJ01412310,001,X,1000325413,1001000366
I,QJ01412438,001,X,1000023164,1000014429
I,QJ01412999,001,X,1000076602,1000027157
I,QJ01413000,001,X,1000039713,1000022106
I,QJ01413338,001,X,1000009044,1000008954
I,QJ01413542,001,X,1000049946,1000000453
I,QJ01413543,001,X,1000051052,1000000460
I,QJ01413839,001,X,1000013630,1000000974
I,QJ01413840,001,X,1000019245,1000019245
I,QJ01413971,001,X,1000323324,1000021084
I,QJ01414680,001,X,1000075286,1000075286
I,QJ01415616,001,X,1000158227,1000158227
I,QJ01415878,001,X,1000037881,1000037881
I,QJ01417847,001,X,1000012920,1000012920
I,QJ01417914,001,X,1000019798,1000019798
I,QJ01419893,001,X,1000049012,1000025510
I,QJ01420505,001,,1003000125,1000031863
I,QJ01421342,001,X,1000082594,1000006248
I,QJ01421539,001,X,1000076202,1000017545
I,QJ01421561,001,X,1000021073,1000021073
I,QJ01422336,001,X,1000008793,1000008793
I,QJ01425134,001,X,1000000713,1000000713
I,QJ01428564,001,X,1000021294,1000021294
I,QJ01429039,001,X,1000009752,1000009794
I,QJ01429058,001,X,1000050373,1000005197
I,QJ01429067,001,X,1000012437,1000022844
I,QJ01429068,001,X,1000127782,1000322632
I,QJ01429069,001,X,1000000855,1000000855
I,QJ01429440,001,X,1000045341,1000037196
I,QJ01430135,001,X,1000031767,1000023813
I,QJ01430177,001,X,1000026534,1000026534
I,QJ01430253,001,X,1000025580,1000025580
I,QJ01430858,001,X,1000014406,1000014406
I,QJ01431424,001,X,1000305041,1000003101
I,QJ01432672,001,,1000085551,1000033323
I,QJ01432798,001,X,1000330194,1000330194
I,QJ01432997,001,X,1000093727,1000093727
