試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ00553704,,,UX14383,個,1,JPY,0,,2013/8/1,2018/7/31,,60,0,1,582966,3600,,
QJ00553777,,,UXA40T3,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,583011,2800,,
QJ00553801,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,553801,200,,
QJ00554413,,,UX14383,個,1,JPY,0,,2013/8/1,2018/7/31,,60,0,1,554413,200,,
QJ00555369,,,UX14383,個,1,JPY,0,,2013/8/1,2018/7/31,,60,0,1,555369,100,,
QJ00555457,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,562329,2200,,
QJ00555991,,,UX14383,個,1,JPY,0,,2013/9/16,2018/9/30,,60,0,1,561460,2700,,
QJ00556732,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,556881,200,,
QJ00556860,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,563066,1000,,
QJ00557383,,,UX14383,個,1,JPY,0,,2013/8/1,2018/7/31,,60,0,1,559302,2700,,
QJ00557902,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,557902,100,,
QJ00557935,,,UX14393,個,1,JPY,0,,2013/9/6,2018/9/5,,60,0,1,566994,2000,,
QJ00558468,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,560926,2600,,
QJ00558532,,,UX141F3,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,558532,100,,
QJ00558777,,,UX14383,個,1,JPY,0,,2013/9/12,2018/9/12,,60,0,1,564086,200,,
QJ00559337,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,559337,100,,
QJ00559482,,,UX14383,個,1,JPY,0,,2013/9/8,2018/9/7,,60,0,1,576593,2200,,
QJ00559669,,,UX14393,個,1,JPY,0,,2013/8/15,2018/7/15,,59,0,1,562174,500,,
QJ00559764,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,582667,2400,,
