試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ01495452,,,UX149R1,個,1,JPY,0,,2017/5/1,2018/4/30,,12,0,1,1498626,2400,,
QJ01495454,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495454,400,,
QJ01495455,,,UX142A2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495455,400,,
QJ01495458,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495458,400,,
QJ01495458,,,UX14353,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495458,500,,
QJ01495462,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495462,400,,
QJ01495527,,,UX149R1,個,1,JPY,0,,2017/3/30,2018/3/29,,12,0,1,1499128,2500,,
QJ01495876,,,UX14455,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495876,100,,
QJ01495876,,,UX14353,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495876,200,,
QJ01495907,,,UX142A2,個,1,JPY,0,,2017/3/1,2018/2/28,,12,0,1,1495907,100,,
QJ01495940,,,UX142F2,個,1,JPY,0,,2017/3/1,2018/2/28,,12,0,1,1495940,500,,
QJ01495941,,,UX142A2,個,1,JPY,0,,2017/3/1,2018/2/28,,12,0,1,1495941,500,,
QJ01495947,,,UX149R1,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1498840,2000,,
QJ01495948,,,UX149R1,個,1,JPY,0,,2017/3/30,2018/3/29,,12,0,1,1499865,1600,,
QJ01495950,,,UX14772,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495950,100,,
