試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ01430198,,,UX142F2,個,1,JPY,0,,2016/11/1,2017/10/31,,12,0,1,1430198,300,,
QJ01430201,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1430201,300,,
QJ01430202,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1430202,400,,
QJ01430215,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1430215,400,,
QJ01430218,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1430218,500,,
QJ01430234,,,UX149R1,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1434271,1500,,
QJ01430235,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1430235,300,,
QJ01430236,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1430236,1100,,
QJ01430237,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1430237,300,,
QJ01430253,,,UX142A2,個,1,JPY,0,,2016/12/2,2017/12/1,,12,0,1,1430253,100,,
QJ01430253,,,UX142C2,個,25,JPY,0,,2016/12/2,2017/12/1,,12,0,1,1430253,200,,
QJ01430256,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1430256,400,,
QJ01430288,,,UX142F2,個,1,JPY,0,,2016/11/1,2017/10/31,,12,0,1,1430288,1400,,
QJ01430290,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1430290,600,,
QJ01430333,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1430333,400,,
QJ01430343,,,UX149R1,個,1,JPY,0,,2017/1/12,2018/1/11,,12,0,1,1435260,1600,,
QJ01430372,,,UX149R1,個,1,JPY,0,,2017/1/20,2018/1/19,,12,0,1,1448559,2500,,
QJ01430422,,,UX142F2,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1430422,100,,
QJ01430517,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1430517,600,,
QJ01430520,,,UX149R1,個,1,JPY,0,,2017/2/1,2018/1/31,,12,0,1,1454947,3600,,
QJ01430666,,,UX142F2,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1430666,400,,
QJ01430853,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1430853,800,,
QJ01430854,,,UX142F2,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1430854,400,,
QJ01430855,,,UX142F2,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1430855,700,,
QJ01430857,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1430857,800,,
QJ01430858,,,UX142G2,個,1,JPY,0,,2017/1/8,2018/1/7,,12,0,1,1430858,100,,
QJ01431188,,,UX149R1,個,1,JPY,0,,2016/12/22,2017/12/21,,12,0,1,1433091,1200,,
QJ01431189,,,UX149R1,個,1,JPY,0,,2017/2/6,2018/2/5,,12,0,1,1459377,800,,
