試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ00796388,,,UX142E2,個,1,JPY,0,,2014/8/1,2018/7/31,,48,0,1,796388,400,,
QJ00797239,,,UX14383,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,805525,2000,,
QJ00798004,,,UX14393,個,1,JPY,0,,2014/7/21,2019/7/20,,60,0,1,799691,200,,
QJ00798168,,,UX141D3,個,1,JPY,0,,2014/7/20,2019/7/19,,60,0,1,798168,100,,
QJ00798189,,,UX14403,個,1,JPY,0,,2013/11/1,2018/11/30,,61,0,1,798712,100,,
QJ00798242,,,UX141D3,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,798299,200,,
QJ00798308,,,UX14393,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,798380,100,,
QJ00798934,,,UX14383,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,802323,100,,
QJ00799460,,,UX14383,個,1,JPY,0,,2014/4/1,2019/3/31,,60,0,1,799674,100,,
QJ00799829,,,UX14383,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,818463,2900,,
QJ00799840,,,UX14383,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,799840,200,,
QJ00800600,,,UX142K3,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,800716,200,,
QJ00800600,,,UX143T3,個,30,JPY,0,,2014/9/1,2019/8/31,,60,0,1,800716,300,,
QJ00800600,,,UX144V3,個,20,JPY,0,,2014/9/1,2019/8/31,,60,0,1,800716,400,,
QJ00800600,,,UX144U3,個,5,JPY,0,,2014/9/1,2019/8/31,,60,0,1,800716,500,,
QJ00800600,,,UX144R3,個,2,JPY,0,,2014/9/1,2019/8/31,,60,0,1,800716,600,,
QJ00800600,,,UX141G3,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,800716,700,,
QJ00800748,,,UX14383,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,807781,2900,,
QJ00800894,,,UX141G3,個,1,JPY,0,,2014/10/1,2019/9/30,,60,0,1,845298,500,,
QJ00800894,,,UX142K3,個,1,JPY,0,,2014/10/1,2019/9/30,,60,0,1,845298,600,,
QJ00800894,,,UX143V3,個,50,JPY,0,,2014/10/1,2019/9/30,,60,0,1,845298,700,,
QJ00800894,,,UX143T3,個,30,JPY,0,,2014/10/1,2019/9/30,,60,0,1,845298,800,,
QJ00800894,,,UX144Y3,個,50,JPY,0,,2014/10/1,2019/9/30,,60,0,1,845298,900,,
QJ00800894,,,UX144W3,個,30,JPY,0,,2014/10/1,2019/9/30,,60,0,1,845298,1000,,
QJ00801346,,,UX14383,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,801346,2300,,
QJ00801825,,,UX14383,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,802095,100,,
QJ00802239,,,UX14383,個,1,JPY,0,,2014/7/1,2018/6/30,,48,0,1,802239,200,,
QJ00802673,,,UX14383,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,802768,100,,
QJ00802740,,,UX14413,個,1,JPY,0,,2015/9/1,2019/8/31,,48,0,1,815753,2000,,
QJ00803168,,,UX14383,個,1,JPY,0,,2014/7/27,2019/3/31,,56,0,1,805579,200,,
QJ00803408,,,UX14383,個,1,JPY,0,,2014/7/26,2019/7/25,,60,0,1,805338,200,,
QJ00804168,,,UXA40T2,個,1,JPY,0,,2014/7/23,2019/7/22,,60,0,1,807610,200,,
QJ00804223,,,UX14383,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,804541,200,,
QJ00804273,,,UX14403,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,804273,200,,
QJ00805111,,,UX14383,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,812990,3500,,
QJ00805114,,,UX141D3,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,825815,3300,,
QJ00805539,,,UX141G3,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,807962,1900,,
QJ00805586,,,UX141G3,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,825160,300,,
QJ00805964,,,UXA40T2,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,815080,2300,,
QJ00806229,,,UX14383,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,809138,2900,,
QJ00806804,,,UX14383,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,807096,200,,
QJ00807222,,,UX14383,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,827158,1600,,
QJ00807409,,,UX14383,個,1,JPY,0,,2014/8/11,2019/8/10,,60,0,1,818623,1900,,
QJ00807644,,,UX14393,個,1,JPY,0,,2014/8/10,2019/8/9,,60,0,1,808786,200,,
QJ00807867,,,UX142K3,個,1,JPY,0,,2014/8/19,2019/8/18,,60,0,1,819532,2500,,
QJ00807867,,,UX143T3,個,30,JPY,0,,2014/8/19,2019/8/18,,60,0,1,819532,2600,,
QJ00807867,,,UX144U3,個,5,JPY,0,,2014/8/19,2019/8/18,,60,0,1,819532,2700,,
QJ00807867,,,UX141G3,個,1,JPY,0,,2014/8/19,2019/8/18,,60,0,1,819532,2800,,
QJ00808024,,,UX14383,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,826539,2200,,
QJ00808269,,,UX141C3,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,808269,100,,
QJ00810138,,,UX141E3,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,810208,100,,
QJ00810138,,,UX144Y3,個,50,JPY,0,,2014/8/1,2019/7/31,,60,0,1,810208,200,,
QJ00810138,,,UX142U3,個,10,JPY,0,,2014/8/1,2019/7/31,,60,0,1,810208,300,,
QJ00810269,,,UX14383,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,817344,1900,,
QJ00812004,,,UX14383,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,812004,100,,
QJ00812339,,,UX14393,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,818051,3800,,
QJ00812542,,,UX14383,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,822034,2600,,
QJ00813015,,,UX14383,個,1,JPY,0,,2014/8/30,2019/8/31,,60,0,1,829359,2500,,
QJ00813411,,,UX14383,個,1,JPY,0,,2014/8/13,2019/8/12,,60,0,1,813411,100,,
QJ00814014,,,UX14413,個,1,JPY,0,,2014/8/1,2018/7/31,,48,0,1,814014,400,,
QJ00814808,,,UX14383,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,814808,200,,
QJ00814881,,,UX149R1,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,826249,2900,,
QJ00815253,,,UX14383,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,826580,3400,,
