試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ00016818,,,UXA40T0,個,1,JPY,0,,2010/05/01,2013/04/30,,36,0,1,16818,10,,
QJ00016819,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16819,10,,
QJ00016820,,,UXA40T0,個,1,JPY,0,,2010/04/01,2013/03/31,,36,0,1,16820,10,,
QJ00016821,,,UXA40T0,個,1,JPY,0,,2010/05/01,2013/04/30,,36,0,1,16821,10,,
QJ00016822,,,UXA40T0,個,1,JPY,0,,2010/04/01,2013/03/31,,36,0,1,16822,10,,
QJ00016823,,,UXA40T0,個,1,JPY,0,,2010/04/01,2013/03/31,,36,0,1,16823,10,,
QJ00016824,,,UXA40T0,個,1,JPY,0,,2010/05/01,2013/04/30,,36,0,1,16824,10,,
QJ00016825,,,UXA40T0,個,1,JPY,0,,2010/04/01,2013/03/31,,36,0,1,16825,10,,
QJ00016826,,,UXA40T0,個,1,JPY,0,,2010/05/01,2013/04/30,,36,0,1,16826,10,,
QJ00016827,,,UXA40T0,個,1,JPY,0,,2010/05/01,2013/04/30,,36,0,1,16827,10,,
QJ00016828,,,UXA40T0,個,1,JPY,0,,2010/05/01,2013/04/30,,36,0,1,16828,10,,
QJ00016829,,,UXA40T0,個,1,JPY,0,,2010/05/01,2013/04/30,,36,0,1,16829,10,,
QJ00016830,,,UXA40T0,個,1,JPY,0,,2010/05/01,2013/04/30,,36,0,1,16830,10,,
QJ00016831,,,UXA40T0,個,1,JPY,0,,2010/06/01,2013/05/31,,36,0,1,16831,10,,
QJ00016832,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16832,10,,
QJ00016833,,,UXA40T0,個,1,JPY,0,,2010/05/01,2013/04/30,,36,0,1,16833,10,,
QJ00016834,,,UXA40T0,個,1,JPY,0,,2010/06/01,2013/05/31,,36,0,1,16834,10,,
QJ00016835,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16835,10,,
QJ00016836,,,UXA40T0,個,1,JPY,0,,2010/06/01,2013/05/31,,36,0,1,16836,10,,
QJ00016837,,,UXA40T0,個,1,JPY,0,,2010/06/01,2013/05/31,,36,0,1,16837,10,,
QJ00016838,,,UXA40T0,個,1,JPY,0,,2010/06/01,2013/05/31,,36,0,1,16838,10,,
QJ00016839,,,UXA40T0,個,1,JPY,0,,2010/06/01,2013/05/31,,36,0,1,16839,10,,
QJ00016840,,,UXA40T0,個,1,JPY,0,,2010/07/01,2013/06/30,,36,0,1,16840,10,,
QJ00016841,,,UXA40T0,個,1,JPY,0,,2010/06/01,2013/05/31,,36,0,1,16841,10,,
QJ00016842,,,UXA40T0,個,1,JPY,0,,2010/06/01,2013/05/31,,36,0,1,16842,10,,
QJ00016843,,,UXA40T0,個,1,JPY,0,,2010/06/01,2013/05/31,,36,0,1,16843,10,,
QJ00016844,,,UXA40T0,個,1,JPY,0,,2010/06/01,2013/05/31,,36,0,1,16844,10,,
QJ00016845,,,UXA40T0,個,1,JPY,0,,2010/07/01,2013/06/30,,36,0,1,16845,10,,
QJ00016846,,,UXA40T0,個,1,JPY,0,,2010/07/01,2013/06/30,,36,0,1,16846,10,,
QJ00016847,,,UXA40T0,個,1,JPY,0,,2010/07/01,2013/06/30,,36,0,1,16847,10,,
QJ00016848,,,UXA40T0,個,1,JPY,0,,2010/07/01,2013/06/30,,36,0,1,16848,10,,
QJ00016849,,,UXA40T0,個,1,JPY,0,,2010/07/01,2013/06/30,,36,0,1,16849,10,,
QJ00016850,,,UXA40T0,個,1,JPY,0,,2010/08/01,2013/07/31,,36,0,1,16850,10,,
QJ00016851,,,UXA40T0,個,1,JPY,0,,2010/07/01,2013/06/30,,36,0,1,16851,10,,
