試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ00347068,,,UX14383,個,1,JPY,0,,2012/11/30,2017/11/29,,60,0,1,358831,2400,,
QJ00347084,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,357109,1700,,
QJ00347256,,,UX14383,個,1,JPY,0,,2012/11/21,2017/11/20,,60,0,1,354401,2300,,
QJ00347606,,,UX142J2,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,347606,100,,
QJ00347606,,,UX142G2,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,347606,200,,
QJ00347607,,,UX142J2,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,347607,100,,
QJ00347607,,,UX142G2,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,347607,200,,
QJ00347607,,,UX142G2,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,4,347607,200,,
QJ00347985,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,357481,2000,,
QJ00348919,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,348919,100,,
QJ00349001,,,UX14383,個,1,JPY,0,,2012/11/21,2017/11/20,,60,0,1,355336,100,,
QJ00349500,,,UX14383,個,1,JPY,0,,2012/11/21,2017/10/20,,59,0,1,349500,200,,
QJ00349663,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,351445,100,,
QJ00349808,,,UX14383,個,1,JPY,0,,2012/11/24,2017/11/23,,60,0,1,349808,100,,
QJ00350092,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,356112,200,,
QJ00350620,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,356411,1800,,
QJ00350762,,,UXA40T2,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,350796,200,,
QJ00350878,,,UX14383,個,1,JPY,0,,2012/12/3,2017/12/2,,60,0,1,352502,200,,
QJ00350992,,,UX14383,個,1,JPY,0,,2012/12/10,2017/12/9,,60,0,1,364612,2000,,
QJ00351011,,,UX14393,個,1,JPY,0,,2012/11/27,2017/10/27,,59,0,1,351011,200,,
QJ00352016,,,UX14383,個,1,JPY,0,,2012/11/23,2017/11/21,,60,0,1,352016,200,,
QJ00352345,,,UX14383,個,1,JPY,0,,2012/12/13,2017/12/12,,60,0,1,376534,1400,,
QJ00352448,,,UX14393,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,357491,3400,,
QJ00353462,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,369345,1800,,
QJ00353528,,,UXA40T2,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,372009,2300,,
QJ00353654,,,UX14383,個,1,JPY,0,,2012/11/26,2017/11/25,,60,0,1,356005,200,,
QJ00353706,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,353706,100,,
QJ00354129,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,366324,1100,,
QJ00354441,,,UX14403,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,354891,200,,
QJ00354990,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,355611,100,,
QJ00356199,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,356199,100,,
QJ00356265,,,UX14383,個,1,JPY,0,,2012/12/7,2017/11/6,,59,0,1,380598,1900,,
QJ00356471,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,356760,1900,,
QJ00356593,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,356593,100,,
QJ00356681,,,UX14403,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,357485,2500,,
QJ00356878,,,UX14393,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,357198,200,,
QJ00356924,,,UX14383,個,1,JPY,0,,2012/11/28,2017/11/27,,60,0,1,356924,200,,
QJ00357588,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,357588,100,,
QJ00358323,,,UX14403,個,1,JPY,0,,2012/12/1,2017/10/31,,59,0,1,358483,100,,
QJ00359701,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,360144,100,,
QJ00359702,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,359702,1900,,
QJ00360419,,,UX14403,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,371775,2000,,
QJ00362209,,,UX14383,個,1,JPY,0,,2012/12/18,2017/12/17,,60,0,1,372609,1700,,
QJ00362785,,,UX14383,個,1,JPY,0,,2012/12/5,2017/12/4,,60,0,1,362785,100,,
QJ00363049,,,UX14403,個,1,JPY,0,,2012/12/27,2017/12/26,,60,0,1,379415,2600,,
QJ00364705,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,364705,200,,
QJ00364864,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,374995,2400,,
QJ00365370,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,377205,1900,,
QJ00367581,,,UX141A2,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,367581,100,,
QJ00367964,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,367964,1700,,
QJ00368005,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,368005,2100,,
QJ00368040,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,368082,200,,
QJ00368219,,,UX141A2,個,1,JPY,0,,2012/12/17,2017/12/31,,60,0,1,368219,1100,,
QJ00368551,,,UX14383,個,1,JPY,0,,2012/12/18,2017/12/17,,60,0,1,368551,100,,
QJ00368580,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,378996,2900,,
QJ00368581,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,368581,100,,
QJ00369557,,,UX14383,個,1,JPY,0,,2012/12/17,2017/12/16,,60,0,1,369557,200,,
QJ00370599,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,370599,100,,
QJ00370651,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,370651,200,,
QJ00370834,,,UX14383,個,1,JPY,0,,2013/1/1,2018/12/31,,72,0,1,370834,200,,
QJ00372577,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,374728,1300,,
QJ00372579,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,374512,1900,,
QJ00372763,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,373443,200,,
QJ00372900,,,UX14383,個,1,JPY,0,,2012/12/13,2017/11/30,,60,0,1,372900,100,,
QJ00373925,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,379853,1900,,
QJ00374575,,,UX14383,個,1,JPY,0,,2013/3/14,2018/3/31,,61,0,1,380384,2300,,
QJ00374820,,,UX14403,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,381380,1900,,
QJ00375530,,,UX14383,個,1,JPY,0,,2013/3/1,2018/2/28,,60,0,1,375530,3300,,
QJ00375988,,,UX14383,個,1,JPY,0,,2013/3/1,2018/2/28,,60,0,1,381086,2300,,
QJ00376767,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,377993,100,,
QJ00376970,,,UX142J2,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,376970,100,,
QJ00376971,,,UX142J2,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,376971,100,,
QJ00376976,,,UX141A2,個,1,JPY,0,,2012/12/17,2017/12/30,,60,0,1,377056,100,,
QJ00377066,,,UX14383,個,1,JPY,0,,2012/12/27,2017/12/26,,60,0,1,378024,200,,
QJ00377451,,,UX14383,個,1,JPY,0,,2013/1/14,2018/1/31,,61,0,1,380479,1800,,
QJ00377524,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,482778,200,,
QJ00377646,,,UX14383,個,1,JPY,0,,2013/1/10,2018/1/9,,60,0,1,377646,1900,,
QJ00377919,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,377919,200,,
QJ00377920,,,UX149R1,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,378847,2300,,
QJ00377962,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,381111,1800,,
QJ00378064,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,378064,3000,,
QJ00378170,,,UX142J2,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,380816,100,,
QJ00378384,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,378384,1900,,
QJ00378415,,,UX14383,個,1,JPY,0,,2012/12/25,2017/12/31,,60,0,1,378415,100,,
